total_bill,tip,sex,smoker,day,time,size
8.78,1.91,Female,No,Sat,Lunch,5
6.71,1.05,Female,Yes,Fri,Dinner,3
33.38,3.17,Male,No,Thur,Lunch,3
23.32,2.41,Female,No,Sat,Lunch,2
6.65,0.93,Female,Yes,Thur,Lunch,5
48.41,10.25,Male,No,Thur,Dinner,3
17.76,4.11,Male,No,Sat,Dinner,6
30.96,7.63,Female,No,Fri,Dinner,6
10.51,1.64,Male,No,Sat,Lunch,3
18.89,2.18,Female,No,Sat,Lunch,5
13.88,0.78,Female,Yes,Fri,Dinner,5
6.74,0.36,Female,No,Sat,Lunch,5
24.74,5.17,Female,No,Sat,Dinner,2
19.49,2.63,Female,No,Thur,Dinner,4
19.18,1.68,Female,Yes,Fri,Lunch,4
44.07,6.74,Female,Yes,Sat,Lunch,3
14.8,1.35,Female,Yes,Thur,Dinner,6
30.78,2.59,Female,Yes,Thur,Lunch,6
37.65,4.18,Male,Yes,Sun,Dinner,4
16.16,0.98,Female,No,Fri,Lunch,2
26.91,3.39,Male,Yes,Sat,Dinner,1
49.61,9.32,Male,No,Thur,Lunch,2
25.48,1.41,Female,No,Fri,Dinner,5
31.2,6.16,Male,Yes,Thur,Dinner,2
25.15,1.38,Male,Yes,Thur,Dinner,4
17.51,3.03,Female,No,Sat,Lunch,1
32.15,1.64,Female,No,Thur,Lunch,4
30.46,2.37,Male,No,Thur,Lunch,1
35.05,5.24,Female,No,Sun,Lunch,4
15.43,3.72,Female,No,Sat,Lunch,4
32.21,2.25,Male,No,Thur,Lunch,5
22.82,3.05,Female,Yes,Fri,Dinner,2
21.46,4.23,Female,No,Thur,Lunch,1
44.8,8.44,Female,Yes,Fri,Dinner,4
23.39,1.84,Male,No,Fri,Lunch,6
5.69,0.35,Female,No,Fri,Lunch,5
29.1,6.13,Female,No,Sun,Dinner,3
24.84,2.17,Female,Yes,Thur,Lunch,4
22.17,2.72,Female,Yes,Thur,Dinner,6
36.93,5.25,Male,No,Sun,Dinner,1
49.46,12.06,Female,Yes,Fri,Lunch,5
37.72,8.9,Male,No,Sat,Dinner,4
16.33,1.77,Female,No,Sat,Lunch,1
16.34,2.73,Female,No,Fri,Lunch,4
19.88,1.32,Male,No,Sat,Lunch,2
32.1,5.88,Female,Yes,Sat,Dinner,3
17.78,1.92,Female,No,Sat,Dinner,6
15.9,1.14,Male,Yes,Sun,Lunch,4
30.56,7.19,Female,Yes,Sun,Lunch,1
40.5,7.9,Male,Yes,Sun,Lunch,1
45.56,3.03,Female,No,Fri,Lunch,2
47.47,9.02,Female,No,Sun,Lunch,2
15.82,3.47,Female,Yes,Thur,Dinner,3
25.01,2.76,Male,Yes,Sun,Dinner,6
32.02,3.69,Female,No,Sat,Lunch,5
17.22,2.87,Male,Yes,Thur,Lunch,4
